---- e , s , t ,  i , user|cpu - kilobytes , memo/cell , cell ----
0 , 0 , 0 , 500 , 0.000000|0.003137 - 644 , 54272 , 324
0 , 2 , 0 , 500 , 0.000000|0.035330 - 672 , 57344 , 4356
0 , 4 , 0 , 500 , 0.875000|0.808208 - 1244 , 105472 , 66564
0 , 6 , 0 , 500 , 10.125000|10.210714 - 13780 , 1175552 , 1052676
0 , 8 , 0 , 500 , 142.750000|142.769898 - 209780 , 17900544 , 16793604
1 , 0 , 0 , 500 , 0.000000|0.013698 - 209780 , 17900544 , 324
1 , 0 , 1 , 500 , 0.000000|0.044362 - 209780 , 17900544 , 324
1 , 0 , 2 , 500 , 0.000000|0.105965 - 209780 , 17900544 , 324
1 , 0 , 3 , 500 , 0.125000|0.325602 - 209780 , 17900544 , 324
1 , 0 , 4 , 500 , 0.625000|1.392445 - 209780 , 17900544 , 324
1 , 2 , 0 , 500 , 0.000000|0.065136 - 209780 , 17900544 , 4356
1 , 2 , 1 , 500 , 0.000000|0.136830 - 209780 , 17900544 , 4356
1 , 2 , 2 , 500 , 0.000000|0.203105 - 209780 , 17900544 , 4356
1 , 2 , 3 , 500 , 0.125000|0.405184 - 209780 , 17900544 , 4356
1 , 2 , 4 , 500 , 0.625000|1.466454 - 209780 , 17900544 , 4356
1 , 2 , 5 , 500 , 3.125000|7.023017 - 209780 , 17900544 , 4356
1 , 4 , 0 , 500 , 1.000000|1.050021 - 209780 , 17900544 , 66564
1 , 4 , 1 , 500 , 1.000000|1.944163 - 209780 , 17900544 , 66564
1 , 4 , 2 , 500 , 1.000000|1.931478 - 209780 , 17900544 , 66564
1 , 4 , 3 , 500 , 1.000000|2.016967 - 209780 , 17900544 , 66564
1 , 4 , 4 , 500 , 1.375000|2.971458 - 209780 , 17900544 , 66564
1 , 4 , 5 , 500 , 3.625000|8.211930 - 260144 , 22198272 , 66564
ça devient rentable
1 , 6 , 0 , 500 , 12.000000|12.065235 - 269456 , 22992896 , 1052676
1 , 6 , 1 , 500 , 7.125000|20.148214 - 269976 , 23037952 , 1052676
1 , 6 , 2 , 500 , 7.250000|20.832157 - 271088 , 23132160 , 1052676
1 , 6 , 3 , 500 , 7.750000|21.751609 - 276328 , 23579648 , 1052676
BOUM error rc = 11
1 , 6 , 4 , 500 , 9.000000|24.315957 - 36264 , 3094528 , 1052676
1 , 6 , 5 , 500 , 12.000000|30.993566 - 98060 , 8367104 , 1052676
