---- s , i , user|cpu - kilobytes , memo/cell , cell ----
9 , 1 , 2.000000|1.919905 - 799784 , 68247552 , 67141636
8 , 1 , 0.500000|0.442760 - 209716 , 17895424 , 16793604
7 , 1 , 0.000000|0.107903 - 62084 , 5297152 , 4202500
6 , 1 , 0.000000|0.025228 - 16036 , 1368064 , 1052676
5 , 1 , 0.000000|0.006414 - 4436 , 377856 , 264196
4 , 1 , 0.000000|0.001666 - 1452 , 123904 , 66564
3 , 1 , 0.000000|0.000576 - 664 , 56320 , 16900
2 , 1 , 0.000000|0.000512 - 612 , 52224 , 4356
1 , 1 , 0.000000|0.000111 - 612 , 52224 , 1156
0 , 1 , 0.000000|0.000030 - 412 , 34816 , 324
------------------
9 , 10 , 13.500000|13.522415 - 799684 , 68239360 , 67141636
8 , 10 , 3.250000|3.327182 - 209520 , 17879040 , 16793604
7 , 10 , 0.875000|0.834561 - 62084 , 5297152 , 4202500
6 , 10 , 0.250000|0.212162 - 15840 , 1351680 , 1052676
5 , 10 , 0.000000|0.052046 - 4436 , 377856 , 264196
4 , 10 , 0.000000|0.012998 - 1452 , 123904 , 66564
3 , 10 , 0.000000|0.003487 - 664 , 56320 , 16900
2 , 10 , 0.000000|0.000952 - 612 , 52224 , 4356
1 , 10 , 0.000000|0.000244 - 612 , 52224 , 1156
0 , 10 , 0.000000|0.000064 - 412 , 34816 , 324
------------------
9 , 100 , 130.375000|130.512844 - 799728 , 68243456 , 67141636
8 , 100 , 32.625000|32.477933 - 209520 , 17879040 , 16793604
7 , 100 , 8.125000|8.241525 - 62140 , 5302272 , 4202500
6 , 100 , 2.000000|2.124161 - 15840 , 1351680 , 1052676
5 , 100 , 0.625000|0.569283 - 4436 , 377856 , 264196
4 , 100 , 0.125000|0.178272 - 1452 , 123904 , 66564
3 , 100 , 0.000000|0.048395 - 664 , 56320 , 16900
2 , 100 , 0.000000|0.008638 - 612 , 52224 , 4356
1 , 100 , 0.000000|0.002425 - 612 , 52224 , 1156
0 , 100 , 0.000000|0.000711 - 412 , 34816 , 324
------------------
7 , 1000 , 91.500000|91.523347 - 62116 , 5300224 , 4202500
6 , 1000 , 28.000000|28.061086 - 15860 , 1352704 , 1052676
5 , 1000 , 10.750000|10.643195 - 4436 , 377856 , 264196
4 , 1000 , 1.750000|1.715976 - 1452 , 123904 , 66564
3 , 1000 , 0.250000|0.343294 - 664 , 56320 , 16900
2 , 1000 , 0.000000|0.086188 - 612 , 52224 , 4356
1 , 1000 , 0.000000|0.023300 - 612 , 52224 , 1156
0 , 1000 , 0.000000|0.006333 - 412 , 34816 , 324
------------------
5 , 10000 , 58.000000|58.026732 - 4436 , 377856 , 264196
4 , 10000 , 13.125000|13.217671 - 1452 , 123904 , 66564
3 , 10000 , 3.250000|3.293451 - 664 , 56320 , 16900
2 , 10000 , 1.000000|0.857265 - 612 , 52224 , 4356
1 , 10000 , 0.125000|0.231045 - 612 , 52224 , 1156
0 , 10000 , 0.000000|0.062342 - 412 , 34816 , 324
