---- e , s , t ,  i , user|cpu - kilobytes , memo/cell , cell ----
0 , 0 , 0 , 1000 , 0.000000|0.005173 - 644 , 54272 , 324
0 , 2 , 0 , 1000 , 0.000000|0.070370 - 672 , 57344 , 4356
0 , 4 , 0 , 1000 , 1.375000|1.362027 - 1244 , 105472 , 66564
0 , 6 , 0 , 1000 , 24.625000|24.663141 - 13788 , 1176576 , 1052676
1 , 0 , 0 , 1000 , 0.000000|0.026716 - 13788 , 1176576 , 324
1 , 0 , 1 , 1000 , 0.000000|0.085541 - 13788 , 1176576 , 324
1 , 0 , 2 , 1000 , 0.000000|0.208758 - 14568 , 1243136 , 324
1 , 0 , 3 , 1000 , 0.250000|0.661757 - 19808 , 1689600 , 324
1 , 0 , 4 , 1000 , 1.125000|2.828179 - 40256 , 3434496 , 324
1 , 2 , 0 , 1000 , 0.000000|0.128929 - 40424 , 3448832 , 4356
1 , 2 , 1 , 1000 , 0.125000|0.258394 - 40764 , 3478528 , 4356
1 , 2 , 2 , 1000 , 0.000000|0.375769 - 41876 , 3572736 , 4356
1 , 2 , 3 , 1000 , 0.375000|0.829120 - 47116 , 4020224 , 4356
1 , 2 , 4 , 1000 , 1.250000|2.935527 - 67548 , 5764096 , 4356
1 , 2 , 5 , 1000 , 6.625000|13.782735 - 149540 , 12760064 , 4356
1 , 4 , 0 , 1000 , 1.875000|1.821582 - 149672 , 12771328 , 66564
1 , 4 , 1 , 1000 , 1.750000|3.392910 - 150012 , 12801024 , 66564
1 , 4 , 2 , 1000 , 1.750000|3.230701 - 151124 , 12895232 , 66564
1 , 4 , 3 , 1000 , 2.000000|3.361908 - 156756 , 13376512 , 66564
1 , 4 , 4 , 1000 , 2.875000|5.670975 - 176972 , 15100928 , 66564
1 , 4 , 5 , 1000 , 8.000000|16.469475 - 259144 , 22113280 , 66564
1 , 6 , 0 , 1000 , 26.375000|26.360369 - 268444 , 22906880 , 1052676
1 , 6 , 1 , 1000 , 17.250000|42.064160 - 268964 , 22950912 , 1052676
1 , 6 , 2 , 1000 , 17.125000|43.506075 - 270076 , 23046144 , 1052676
1 , 6 , 3 , 1000 , 18.125000|45.304031 - 275316 , 23493632 , 1052676
1 , 6 , 4 , 1000 => ERROR rc = 11 nombre max de thread
------------------
1 , 6 , 5 , 100 , 2.500000|6.213904 - 106332 , 9073664 , 1052676
1 , 6 , 5 , 1000 , 26.125000|64.864266 - 100060 , 8538112 , 1052676
1 , 8 , 5 , 500 , 113.500000|334.785199 - 282172 , 24078336 , 16793604
1 , 8 , 5 , 500 , 112.375000|338.633169 - 282300 , 24089600 , 16793604
0 , 8 , 0 , 500 , 151.750000|151.645288 - 197324 , 16837632 , 16793604
0 , 8 , 0 , 500 , 144.125000|143.910803 - 197324 , 16837632 , 16793604
